Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
2990.00,1.9365
2989.00,2.0424
2988.00,2.1546
2987.00,2.2726
2986.00,2.3944
2985.00,2.5222
2984.00,2.6647
2983.00,2.8238
2982.00,2.9922
2981.00,3.1547
2980.00,3.2783
2979.00,3.3378
2978.00,3.3782
2977.00,3.4774
2976.00,3.7131
2975.00,4.3394
2974.00,4.4262
2973.00,3.8731
2972.00,3.6265
2971.00,3.6301
2970.00,3.6959
2969.00,3.6066
2968.00,3.5174
2967.00,3.4727
2966.00,3.5091
2965.00,3.5847
2964.00,3.5831
2963.00,3.4284
2962.00,3.3308
2961.00,3.4169
2960.00,3.6133
2959.00,3.4882
2958.00,3.2906
2957.00,3.2802
2956.00,3.5865
2955.00,4.0245
2954.00,3.9827
2953.00,3.7978
2952.00,3.9233
2951.00,4.1304
2950.00,3.9023
2949.00,3.6333
2948.00,3.4826
2947.00,3.4441
2946.00,3.5101
2945.00,3.6624
2944.00,3.6969
2943.00,3.5074
2942.00,3.3403
2941.00,3.3294
2940.00,3.5429
2939.00,4.1245
2938.00,4.2770
2937.00,3.8533
2936.00,3.7652
2935.00,3.8408
2934.00,3.6013
2933.00,3.3304
2932.00,3.2125
2931.00,3.2154
2930.00,3.2705
2929.00,3.3797
2928.00,3.5378
2927.00,3.7941
2926.00,4.3809
2925.00,4.3137
2924.00,3.9195
2923.00,3.8723
2922.00,4.0900
2921.00,3.8260
2920.00,3.5423
2919.00,3.5453
2918.00,3.9062
2917.00,4.5169
2916.00,4.0063
2915.00,3.5569
2914.00,3.4060
2913.00,3.4403
2912.00,3.5365
2911.00,3.4665
2910.00,3.3243
2909.00,3.2367
2908.00,3.2200
2907.00,3.2331
2906.00,3.2735
2905.00,3.3719
2904.00,3.5328
2903.00,3.8262
2902.00,4.2574
2901.00,3.8780
2900.00,3.5727
2899.00,3.5181
2898.00,3.8657
2897.00,4.4238
2896.00,3.9798
2895.00,3.5805
2894.00,3.4704
2893.00,3.5216
2892.00,3.6187
2891.00,3.6223
2890.00,3.5132
2889.00,3.4308
2888.00,3.3937
2887.00,3.3580
2886.00,3.2967
2885.00,3.2556
2884.00,3.2605
2883.00,3.2876
2882.00,3.3195
2881.00,3.3829
2880.00,3.5196
2879.00,3.7139
2878.00,3.7501
2877.00,3.6111
2876.00,3.5340
2875.00,3.5981
2874.00,3.7613
2873.00,3.8040
2872.00,3.7019
